id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2024-01-01 00:00:00;6539.55999999
NE;NORDESTE;2024-01-01 00:00:00;11976.884
S;SUL;2024-01-01 00:00:00;9966.972
SE;SUDESTE;2024-01-01 00:00:00;34981.614
N;NORTE;2024-01-01 01:00:00;6614.83599999
NE;NORDESTE;2024-01-01 01:00:00;12152.31599999
S;SUL;2024-01-01 01:00:00;10010.32799999
SE;SUDESTE;2024-01-01 01:00:00;34968.063
N;NORTE;2024-01-01 02:00:00;6724.34299999
NE;NORDESTE;2024-01-01 02:00:00;12259.744
S;SUL;2024-01-01 02:00:00;9742.26399999
SE;SUDESTE;2024-01-01 02:00:00;34671.58099999
N;NORTE;2024-01-01 03:00:00;6757.857
NE;NORDESTE;2024-01-01 03:00:00;12240.169
S;SUL;2024-01-01 03:00:00;9420.87199999
SE;SUDESTE;2024-01-01 03:00:00;34035.34399999
N;NORTE;2024-01-01 04:00:00;6757.055
NE;NORDESTE;2024-01-01 04:00:00;12091.749
S;SUL;2024-01-01 04:00:00;9258.319
SE;SUDESTE;2024-01-01 04:00:00;33420.27199999
N;NORTE;2024-01-01 05:00:00;6711.10499999
NE;NORDESTE;2024-01-01 05:00:00;11516.344
S;SUL;2024-01-01 05:00:00;8929.824
SE;SUDESTE;2024-01-01 05:00:00;32566.14699999
N;NORTE;2024-01-01 06:00:00;6496.01399999
NE;NORDESTE;2024-01-01 06:00:00;11268.57
S;SUL;2024-01-01 06:00:00;8906.15699999
SE;SUDESTE;2024-01-01 06:00:00;31666.953
N;NORTE;2024-01-01 07:00:00;6216.587
NE;NORDESTE;2024-01-01 07:00:00;11147.05699999
S;SUL;2024-01-01 07:00:00;9195.85399999
SE;SUDESTE;2024-01-01 07:00:00;31586.89099999
N;NORTE;2024-01-01 08:00:00;6139.517
NE;NORDESTE;2024-01-01 08:00:00;11034.39799999
S;SUL;2024-01-01 08:00:00;9342.33499999
SE;SUDESTE;2024-01-01 08:00:00;31968.854
N;NORTE;2024-01-01 09:00:00;6070.086
NE;NORDESTE;2024-01-01 09:00:00;10766.85199999
S;SUL;2024-01-01 09:00:00;9656.685
SE;SUDESTE;2024-01-01 09:00:00;32524.471
N;NORTE;2024-01-01 10:00:00;6047.08
NE;NORDESTE;2024-01-01 10:00:00;10805.03199999
S;SUL;2024-01-01 10:00:00;9967.482
SE;SUDESTE;2024-01-01 10:00:00;33201.961
N;NORTE;2024-01-01 11:00:00;6008.259
NE;NORDESTE;2024-01-01 11:00:00;10791.83499999
S;SUL;2024-01-01 11:00:00;10177.89499999
SE;SUDESTE;2024-01-01 11:00:00;33696.33799999
N;NORTE;2024-01-01 12:00:00;5816.487
NE;NORDESTE;2024-01-01 12:00:00;10738.26199999
S;SUL;2024-01-01 12:00:00;10093.756
SE;SUDESTE;2024-01-01 12:00:00;34121.33
N;NORTE;2024-01-01 13:00:00;5867.43499999
NE;NORDESTE;2024-01-01 13:00:00;10625.94699999
S;SUL;2024-01-01 13:00:00;10023.17
SE;SUDESTE;2024-01-01 13:00:00;33730.23299999
N;NORTE;2024-01-01 14:00:00;6089.52399999
NE;NORDESTE;2024-01-01 14:00:00;10559.429
S;SUL;2024-01-01 14:00:00;10036.39699999
SE;SUDESTE;2024-01-01 14:00:00;33299.403
N;NORTE;2024-01-01 15:00:00;6240.988
NE;NORDESTE;2024-01-01 15:00:00;10563.875
S;SUL;2024-01-01 15:00:00;10126.793
SE;SUDESTE;2024-01-01 15:00:00;33289.91
N;NORTE;2024-01-01 16:00:00;6296.92399999
NE;NORDESTE;2024-01-01 16:00:00;10628.63699999
S;SUL;2024-01-01 16:00:00;10460.56
SE;SUDESTE;2024-01-01 16:00:00;34092.783
N;NORTE;2024-01-01 17:00:00;6330.95699999
NE;NORDESTE;2024-01-01 17:00:00;11204.202
S;SUL;2024-01-01 17:00:00;10982.15499999
SE;SUDESTE;2024-01-01 17:00:00;35239.11
N;NORTE;2024-01-01 18:00:00;6613.57
NE;NORDESTE;2024-01-01 18:00:00;12407.213
S;SUL;2024-01-01 18:00:00;11392.919
SE;SUDESTE;2024-01-01 18:00:00;37308.16199999
N;NORTE;2024-01-01 19:00:00;6963.043
NE;NORDESTE;2024-01-01 19:00:00;12815.302
S;SUL;2024-01-01 19:00:00;12374.944
SE;SUDESTE;2024-01-01 19:00:00;40926.58099999
N;NORTE;2024-01-01 20:00:00;7135.54
NE;NORDESTE;2024-01-01 20:00:00;12895.836
S;SUL;2024-01-01 20:00:00;13157.18499999
SE;SUDESTE;2024-01-01 20:00:00;41627.02099999
N;NORTE;2024-01-01 21:00:00;7338.398
NE;NORDESTE;2024-01-01 21:00:00;13140.175
S;SUL;2024-01-01 21:00:00;13116.84699999
SE;SUDESTE;2024-01-01 21:00:00;41040.771
N;NORTE;2024-01-01 22:00:00;7498.779
NE;NORDESTE;2024-01-01 22:00:00;13232.27
S;SUL;2024-01-01 22:00:00;12821.061
SE;SUDESTE;2024-01-01 22:00:00;40068.401
N;NORTE;2024-01-01 23:00:00;7517.721
NE;NORDESTE;2024-01-01 23:00:00;12947.664
S;SUL;2024-01-01 23:00:00;12176.90499999
SE;SUDESTE;2024-01-01 23:00:00;38113.08699999
N;NORTE;2024-01-02 00:00:00;7463.09299999
NE;NORDESTE;2024-01-02 00:00:00;12543.28899999
S;SUL;2024-01-02 00:00:00;11483.81
SE;SUDESTE;2024-01-02 00:00:00;36472.09799999
N;NORTE;2024-01-02 01:00:00;7355.905
NE;NORDESTE;2024-01-02 01:00:00;12218.982
S;SUL;2024-01-02 01:00:00;10793.31099999
SE;SUDESTE;2024-01-02 01:00:00;34893.14499999
N;NORTE;2024-01-02 02:00:00;7246.546
NE;NORDESTE;2024-01-02 02:00:00;11983.052
S;SUL;2024-01-02 02:00:00;10497.51299999
SE;SUDESTE;2024-01-02 02:00:00;33837.95199999
N;NORTE;2024-01-02 03:00:00;7133.265
NE;NORDESTE;2024-01-02 03:00:00;11775.618
S;SUL;2024-01-02 03:00:00;10334.08599999
SE;SUDESTE;2024-01-02 03:00:00;33352.399
N;NORTE;2024-01-02 04:00:00;7041.554
NE;NORDESTE;2024-01-02 04:00:00;11688.447
S;SUL;2024-01-02 04:00:00;10249.56699999
SE;SUDESTE;2024-01-02 04:00:00;33438.50399999
N;NORTE;2024-01-02 05:00:00;6922.72199999
NE;NORDESTE;2024-01-02 05:00:00;11175.959
S;SUL;2024-01-02 05:00:00;10306.821
SE;SUDESTE;2024-01-02 05:00:00;33643.44199999
N;NORTE;2024-01-02 06:00:00;6686.807
NE;NORDESTE;2024-01-02 06:00:00;11023.997
S;SUL;2024-01-02 06:00:00;10929.85299999
SE;SUDESTE;2024-01-02 06:00:00;35007.365
N;NORTE;2024-01-02 07:00:00;6614.619
NE;NORDESTE;2024-01-02 07:00:00;11505.023
S;SUL;2024-01-02 07:00:00;12047.19699999
SE;SUDESTE;2024-01-02 07:00:00;37745.805
N;NORTE;2024-01-02 08:00:00;6712.24799999
NE;NORDESTE;2024-01-02 08:00:00;12125.11699999
