id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2023-01-01 00:00:00;5990.553
NE;NORDESTE;2023-01-01 00:00:00;10455.81799999
S;SUL;2023-01-01 00:00:00;10273.82699999
SE;SUDESTE;2023-01-01 00:00:00;32183.88499999
N;NORTE;2023-01-01 01:00:00;5981.216
NE;NORDESTE;2023-01-01 01:00:00;10481.70999999
S;SUL;2023-01-01 01:00:00;10503.70899999
SE;SUDESTE;2023-01-01 01:00:00;32196.682
N;NORTE;2023-01-01 02:00:00;6031.892
NE;NORDESTE;2023-01-01 02:00:00;10475.74
S;SUL;2023-01-01 02:00:00;10258.68799999
SE;SUDESTE;2023-01-01 02:00:00;31539.57
N;NORTE;2023-01-01 03:00:00;5994.131
NE;NORDESTE;2023-01-01 03:00:00;10404.68199999
S;SUL;2023-01-01 03:00:00;9916.36899999
SE;SUDESTE;2023-01-01 03:00:00;30699.36699999
N;NORTE;2023-01-01 04:00:00;5981.096
NE;NORDESTE;2023-01-01 04:00:00;10274.92299999
S;SUL;2023-01-01 04:00:00;9661.803
SE;SUDESTE;2023-01-01 04:00:00;30126.19499999
N;NORTE;2023-01-01 05:00:00;5931.059
NE;NORDESTE;2023-01-01 05:00:00;9500.54999999
S;SUL;2023-01-01 05:00:00;9101.11999999
SE;SUDESTE;2023-01-01 05:00:00;28687.157
N;NORTE;2023-01-01 06:00:00;5655.369
NE;NORDESTE;2023-01-01 06:00:00;8817.295
S;SUL;2023-01-01 06:00:00;8624.06799999
SE;SUDESTE;2023-01-01 06:00:00;27327.244
N;NORTE;2023-01-01 07:00:00;5472.501
NE;NORDESTE;2023-01-01 07:00:00;8349.615
S;SUL;2023-01-01 07:00:00;8254.91
SE;SUDESTE;2023-01-01 07:00:00;26590.855
N;NORTE;2023-01-01 08:00:00;5299.719
NE;NORDESTE;2023-01-01 08:00:00;7977.379
S;SUL;2023-01-01 08:00:00;7682.823
SE;SUDESTE;2023-01-01 08:00:00;26260.21999999
N;NORTE;2023-01-01 09:00:00;5122.146
NE;NORDESTE;2023-01-01 09:00:00;7660.49899999
S;SUL;2023-01-01 09:00:00;7325.779
SE;SUDESTE;2023-01-01 09:00:00;26281.324
N;NORTE;2023-01-01 10:00:00;5058.23799999
NE;NORDESTE;2023-01-01 10:00:00;7540.359
S;SUL;2023-01-01 10:00:00;7222.611
SE;SUDESTE;2023-01-01 10:00:00;26871.891
N;NORTE;2023-01-01 11:00:00;5007.827
NE;NORDESTE;2023-01-01 11:00:00;7618.159
S;SUL;2023-01-01 11:00:00;7194.179
SE;SUDESTE;2023-01-01 11:00:00;27637.95699999
N;NORTE;2023-01-01 12:00:00;4966.854
NE;NORDESTE;2023-01-01 12:00:00;7715.656
S;SUL;2023-01-01 12:00:00;7117.389
SE;SUDESTE;2023-01-01 12:00:00;27940.96399999
N;NORTE;2023-01-01 13:00:00;5041.56399999
NE;NORDESTE;2023-01-01 13:00:00;7818.786
S;SUL;2023-01-01 13:00:00;7373.333
SE;SUDESTE;2023-01-01 13:00:00;27566.566
N;NORTE;2023-01-01 14:00:00;5088.09599999
NE;NORDESTE;2023-01-01 14:00:00;8209.00399999
S;SUL;2023-01-01 14:00:00;7834.964
SE;SUDESTE;2023-01-01 14:00:00;27981.53699999
N;NORTE;2023-01-01 15:00:00;5228.013
NE;NORDESTE;2023-01-01 15:00:00;8752.26399999
S;SUL;2023-01-01 15:00:00;8487.62199999
SE;SUDESTE;2023-01-01 15:00:00;28963.128
N;NORTE;2023-01-01 16:00:00;5347.975
NE;NORDESTE;2023-01-01 16:00:00;9266.691
S;SUL;2023-01-01 16:00:00;9391.534
SE;SUDESTE;2023-01-01 16:00:00;30836.365
N;NORTE;2023-01-01 17:00:00;5540.66699999
NE;NORDESTE;2023-01-01 17:00:00;9966.22899999
S;SUL;2023-01-01 17:00:00;10444.088
SE;SUDESTE;2023-01-01 17:00:00;33219.686
N;NORTE;2023-01-01 18:00:00;6032.597
NE;NORDESTE;2023-01-01 18:00:00;11356.03799999
S;SUL;2023-01-01 18:00:00;11388.13299999
SE;SUDESTE;2023-01-01 18:00:00;36098.15799999
N;NORTE;2023-01-01 19:00:00;6323.396
NE;NORDESTE;2023-01-01 19:00:00;11701.77699999
S;SUL;2023-01-01 19:00:00;12418.32799999
SE;SUDESTE;2023-01-01 19:00:00;39335.642
N;NORTE;2023-01-01 20:00:00;6377.187
NE;NORDESTE;2023-01-01 20:00:00;11711.846
S;SUL;2023-01-01 20:00:00;13329.936
SE;SUDESTE;2023-01-01 20:00:00;39796.14799999
N;NORTE;2023-01-01 21:00:00;6441.68699999
NE;NORDESTE;2023-01-01 21:00:00;11837.52499999
S;SUL;2023-01-01 21:00:00;13335.46799999
SE;SUDESTE;2023-01-01 21:00:00;39196.848
N;NORTE;2023-01-01 22:00:00;6475.30799999
NE;NORDESTE;2023-01-01 22:00:00;11822.37599999
S;SUL;2023-01-01 22:00:00;13092.388
SE;SUDESTE;2023-01-01 22:00:00;37927.261
N;NORTE;2023-01-01 23:00:00;6483.12199999
NE;NORDESTE;2023-01-01 23:00:00;11645.28799999
S;SUL;2023-01-01 23:00:00;12480.17399999
SE;SUDESTE;2023-01-01 23:00:00;35985.53699999
N;NORTE;2023-01-02 00:00:00;6460.411
NE;NORDESTE;2023-01-02 00:00:00;11305.27
S;SUL;2023-01-02 00:00:00;11764.294
SE;SUDESTE;2023-01-02 00:00:00;34049.364
N;NORTE;2023-01-02 01:00:00;6317.415
NE;NORDESTE;2023-01-02 01:00:00;11060.389
S;SUL;2023-01-02 01:00:00;11226.73
SE;SUDESTE;2023-01-02 01:00:00;32526.95099999
N;NORTE;2023-01-02 02:00:00;6207.02899999
NE;NORDESTE;2023-01-02 02:00:00;10871.09299999
S;SUL;2023-01-02 02:00:00;10842.97499999
SE;SUDESTE;2023-01-02 02:00:00;31521.123
N;NORTE;2023-01-02 03:00:00;6118.58699999
NE;NORDESTE;2023-01-02 03:00:00;10704.337
S;SUL;2023-01-02 03:00:00;10548.308
SE;SUDESTE;2023-01-02 03:00:00;30986.82099999
N;NORTE;2023-01-02 04:00:00;6040.78899999
NE;NORDESTE;2023-01-02 04:00:00;10582.59499999
S;SUL;2023-01-02 04:00:00;10415.20099999
SE;SUDESTE;2023-01-02 04:00:00;30900.032
N;NORTE;2023-01-02 05:00:00;5965.82799999
NE;NORDESTE;2023-01-02 05:00:00;10031.256
S;SUL;2023-01-02 05:00:00;10318.09
SE;SUDESTE;2023-01-02 05:00:00;30826.663
N;NORTE;2023-01-02 06:00:00;5639.919
NE;NORDESTE;2023-01-02 06:00:00;9763.279
S;SUL;2023-01-02 06:00:00;10414.051
SE;SUDESTE;2023-01-02 06:00:00;31502.834
N;NORTE;2023-01-02 07:00:00;5545.28099999
NE;NORDESTE;2023-01-02 07:00:00;9889.56
S;SUL;2023-01-02 07:00:00;11071.241
